isolate,amp_mic,amp_sir,coa_mic,coa_sir
AMC_687,<=2,S,<=2/2,S
AMC_688,>8,R,>32/2,R
AMC_689,>8,R,>32/2,R
AMC_690,>8,R,>32/2,R
AMC_691,>8,R,>32/2,R
AMC_692,<=2,S,<=2/2,S
AMC_693,>8,R,16/2,R
AMC_694,<=2,S,<=2/2,S
AMC_695,>8,R,8/2,S
AMC_696,<=2,S,<=2/2,S
AMC_697,<=2,S,<=2/2,S
AMC_698,>8,R,32/2,R
AMC_699,<=2,S,4/2,S
AMC_700,>8,R,>32/2,R
AMC_701,>8,R,8/2,S
AMC_702,<=2,S,4/2,S
AMC_703,<=2,S,4/2,S
AMC_704,>8,R,8/2,S
AMC_705,>8,R,8/2,S
AMC_706,>8,R,8/2,S
AMC_707,>8,R,>32/2,R
AMC_708,<=2,S,4/2,S
AMC_709,>8,R,8/2,S
AMC_710,>8,R,4/2,S
AMC_711,<=2,S,4/2,S
AMC_712,<=2,S,<=2/2,S
AMC_713,<=2,S,4/2,S
AMC_714,>8,R,32/2,R
AMC_715,<=2,S,4/2,S
AMC_716,>8,R,8/2,S
AMC_717,<=2,S,4/2,S
AMC_718,8,S,32/2,R
AMC_719,<=2,S,<=2/2,S
AMC_720,<=2,S,4/2,S
AMC_721,<=2,S,<=2/2,S
AMC_722,>8,R,>32/2,R
AMC_723,<=2,S,4/2,S
AMC_724,4,S,8/2,S
AMC_725,>8,R,16/2,R
AMC_726,<=2,S,<=2/2,S
AMC_727,<=2,S,4/2,S
AMC_728,<=2,S,<=2/2,S
AMC_729,<=2,S,4/2,S
AMC_730,<=2,S,<=2/2,S
AMC_731,<=2,S,4/2,S
AMC_732,<=2,S,4/2,S
AMC_733,>8,R,8/2,S
AMC_734,>8,R,>32/2,R
AMC_735,>8,R,8/2,S
AMC_736,<=2,S,4/2,S
AMC_737,>8,R,8/2,S
AMC_738,>8,R,8/2,S
AMC_739,>8,R,32/2,R
AMC_740,>8,R,32/2,R
AMC_741,<=2,S,<=2/2,S
AMC_742,>8,R,>32/2,R
AMC_743,>8,R,16/2,R
AMC_744,>8,R,>32/2,R
AMC_745,<=2,S,<=2/2,S
AMC_746,<=2,S,<=2/2,S
AMC_747,>8,R,>32/2,R
AMC_748,<=2,S,4/2,S
AMC_749,>8,R,>32/2,R
AMC_750,>8,R,8/2,S
AMC_751,>8,R,>32/2,R
AMC_752,>8,R,8/2,S
AMC_753,<=2,S,4/2,S
AMC_754,>8,R,>32/2,R
AMC_755,>8,R,16/2,R
AMC_756,>8,R,16/2,R
AMC_757,<=2,S,<=2/2,S
AMC_758,>8,R,8/2,S
AMC_759,<=2,S,<=2/2,S
AMC_760,>8,R,32/2,R
AMC_761,>8,R,16/2,R
AMC_762,>8,R,>32/2,R
AMC_763,8,S,4/2,S
AMC_764,<=2,S,4/2,S
AMC_765,<=2,S,4/2,S
AMC_766,<=2,S,4/2,S
AMC_767,<=2,S,4/2,S
AMC_768,>8,R,16/2,R
AMC_769,>8,R,>32/2,R
AMC_770,<=2,S,<=2/2,S
AMC_771,<=2,S,4/2,S
